Category,Title,Snippet
UK-News,'I saw them shoot him three times': how Streatham attack unfolded,Shops and cafes along Streatham High Road were crowded with shoppers and families onthe busy south London thoroughfare when terror struck at around 2p +ICY
UK-News,Streatham attacker freed from jail days ago after terror conviction,Summary: The man shot dead by police after he stabbed two people in London on Sunday left prison only days ago and had previously been noted by police as havin +ICY
UK-News,Questions for investigators over surveillance of attacker,"While the immediate and urgent focus of the emergency services after the stabbings in south London will be the victims, the police and MI5 will swiftl +ICY"
UK-News,Streatham attack victim no longer in a 'life-threatening condition' +AOIAgACT as it happened,"Closing summary Here is a summary of the major updates from the terror attack in Streatham, south London: Convicted terror offender Sudesh Amman has b +ICY"
Music,Shakira and J-Lo's Super Bowl show: an electric burst of energy,"Summary: Jennifer Lopez and Shakira did what they had to do at the Super Bowl half-time show this year at Hard Rock Stadium in Miami, Florida. It+AOIAgACZ-s not an envi +ICY"
Books,Long Bright River by Liz Moore review +AOIAgACT startlingly fresh,"In 2009, Liz Moore accompanied photographer Jeffrey Stockbridge to the Philadephia neighbourhood of Kensington, where he was documenting the human cos +ICY"
Books,A Small Revolution in Germany by Philip Hensher +AOIAgACT review,"Summary: It+AOIAgACZ-s sometimes hard not to picture Philip Hensher+AOIAgACZ-s non-writing hand stroking a cat as he comes up with sly ways to throw shade. Here+AOIAgACZ-s Spike, the nar +ICY"
Books,Poem of the week: In the Rose Garden by Helen Tookey,"In the Rose Garden She+AOIAgACZ-s in the rose garden again, staring at her right arm, its pale soft underside that never gets the sun, never gets tanned. It+AOIAgACZ-s +ICY"
Music,"50 great tracks for February from David Bowie, Waxahatchee, J Hus and more","Waxahatchee +AOIAgACT Fire Katie Crutchfield got sober before making her fifth album as Waxahatchee. The resulting clarity shines through Fire, the first song +ICY"
UK-News,Who was the Streatham attacker and why was he imprisoned?,"Sudesh Amman, from Harrow in north-west London, was jailed in December 2018 after admitting to 13 counts of expressing his support for Islamist terror +ICY"
Music,Mabel review +AOIAgACT a blast of charisma from the warrior queen,"February is shaping up to be a hectic month for Mabel McVey. After finishing the sold-out UK leg of her current tour, she will perform at the Brit awa +ICY"
UK-News,"HS2 will spark regeneration, say city leaders on the route","With the escalating cost of HS2, a changed political landscape and greater awareness of environmental concerns, the arguments for high-speed rail are +ICY"
Music,Carmen review +AOIAgACT revival's real stars are Peleggi and the ENO orchestra,"Summary: It+AOIAgACZ-s the world+AOIAgACZ-s most performed French opera, but the success of Bizet+AOIAgACZ-s Carmen has always rested on its parade of predictable Spanish icons: Gypsies, +ICY"
UK-News,London attack: PM says terrorism sentence changes may be applied retrospectively,"Prisoners already jailed for terrorism offences could face retrospective changes to their sentences to deny them early release, after a man just freed +ICY"
Books,"Tips, links and suggestions: what are you reading this week?","Welcome to this week+AOIAgACZ-s blogpost. Here+AOIAgACZ-s our roundup of your comments and photos from the last week. First, let+AOIAgACZ-s hear it for union. BrendaTwisse has j +ICY"
UK-News,"At +AMIAow-307m per mile of track, can the cost of HS2 be justified?",The economic case against HS2 is straightforward: its critics say there must be better ways to spend +AMIAow-100bn on rail infrastructure. That +AMIAow-100bn figure +ICY
UK-News,"Boy fell from cliff while out of sight on Scouts trip, inquest told","A teenage scout was out of the sight of group leaders when he slipped and fell from a coastal cliff in north Wales, an inquest has heard. Ben Leonard, +ICY"
Music,"How we made Free, by Ultra Nat+AMMAqQ","Summary: Ultra Nat+AMMAqQ, singer, songwriter I fell into club culture in my first year at university in Baltimore. During the week, I+AOIAgACZ-d be in classes, studying medi +ICY"
UK-News,Danish police freeze Hyde Park mansion of Sanjay Shah,"Danish police have frozen a +AMIAow-14.7m mansion near Hyde Park, in central London, owned by Sanjay Shah, a British multi-millionaire businessman accused of +ICY"
UK-News,Streatham attack: emergency laws will stop serving terrorist offenders being released without review +AOIAgACT as it happened,"That+AOIAgACZ-s all from us for this evening. Here+AOIAgACZ-s a summary of the day+AOIAgACZ-s events: The justice secretary, Robert Buckland, outlined the government+AOIAgACZ-s response +ICY"
UK-News,Sudesh Amman: how did science student become Streatham jihadist?,"To his distraught mother, Sudesh Amman was a +AOIAgACc-polite, kind, lovely boy+AOIAgACd who became radicalised while serving time at the high-security Belmarsh prison +ICY"
UK-News,Woman found not guilty after stabbing abusive father to death,"A woman who stabbed her abusive father to death has been acquitted of his murder and manslaughter. Jessica Breeze, 20, from Middlesbrough, denied murd +ICY"
UK-News,Streatham attacker was released amid fears he felt terrorism 'justified',"Summary: The Streatham attacker was released from a high security prison with investigators fearing he believed terrorist atrocities to be justified, the Guard +ICY"
Books,Year of the Rabbit by Tian Veasna review +AOIAgACT art that speaks volumes,"I feel more and more that comics are capable of dealing even with the most difficult of subjects +AOIAgACT an ability that has to do, I think, with their rela +ICY"
UK-News,Streatham attack shows Britain needs new ideas on deradicalisation,"There has been a pattern to recent terror attacks in the UK. A perpetrator, frequently alone, launches an attack, innocent lives are lost or changed i +ICY"
UK-News,Wales: market trader from Taiwan told to leave stall over coronavirus fears,Summary: A market trader in Wales has accused fellow stallholders of bigotry after she was told to leave her stall because of fears she might have coronavirus. +ICY
Books,Taking Maigret's first case in for questioning,Pietr the Latvian wasn+AOIAgACZ-t the first book that Georges Simenon wrote. He+AOIAgACZ-d managed more than 100 pulp fiction novels before this one under a number of p +ICY
Books,Hillary without Bill: Curtis Sittenfeld rewrites Clinton's personal history,"Hillary Rodham Clinton recounts, in her memoir Living History, how Bill Clinton +AOIAgACc-asked me to marry him again, and again, and I always said no+AOIAgACd. Until, +ICY"
UK-News,Streatham attack: stabbed woman named as Monika Luftner,"One of the victims of the Streatham terror attack is a popular nursery school teacher, it has emerged. Monika Luftner has been identified as one of th +ICY"
Books,"'No Divine Revelation, Feminine Intuition or Mumbo Jumbo': Dorothy L Sayers and the Detection Club","In 1933, Lucy Malleson +AOIAgACT who published detective stories under the name Anthony Gilbert +AOIAgACT received a letter from one of her literary heroes. Dorothy L +ICY"
Music,London Sinfonietta review +AOIAgACT the haunting charm of Mauricio Kagel,"It is 11 years since Mauricio Kagel died, but it+AOIAgACZ-s still hard to pinpoint where he fits into the busy history of music since 1945. Though he lived mos +ICY"
UK-News,Kelly-Anne Case: 'sadistic' killer jailed for at least 30 years,A man who tortured a woman before slitting her throat has been jailed for a minimum of 30 years after being convicted of murder and arson. Brendan Row +ICY
UK-News,Jersey scraps 'only husbands talk tax' rule,Summary: An +AOIAgACc-archaic+AOIAgACd tax law on the island of Jersey in effect deeming that a wife+AOIAgACZ-s income belongs to her husband is being scrapped. Politicians on the Chann +ICY
Books,"George Steiner, influential culture critic, dies aged 90","The eminent literary critic and essayist George Steiner, who explored the power and limitations of language and culture in a series of hugely influent +ICY"
UK-News,"Manchester Arena bomber's brother 'just as guilty', court told","Two brothers had a shared goal to kill and maim as many people as possible in what proved to be one of the deadliest terror attacks the UK has seen, a +ICY"
UK-News,Grenfell Tower public inquiry delayed due to witnesses' demands,Summary: The Grenfell Tower public inquiry has been delayed after corporate witnesses threatened not to give evidence unless assured anything they say will not +ICY
UK-News,Ian Paterson patients welcome 'milestone' and vow to fight on,"As the inquiry into the rogue breast surgeon Ian Paterson released its report to a roomful of journalists in central Birmingham on Tuesday, some of Pa +ICY"
UK-News,UK may bypass human rights convention  to rush through terror laws,Summary: Britain could temporarily separate itself from the European convention on human rights (ECHR) in order to push through emergency laws on sentencing fo +ICY
Books,A Bit of a Stretch by Chris Atkins review +AOIAgACT how to survive in prison,"If you thought you knew how bad British prisons are, you haven+AOIAgACZ-t read this book. Drugs, riots, suicides, squalor, overcrowding, understaffing, dangero +ICY"
Books,Strange Hotel by Eimear McBride review +AOIAgACT an immersive inner journey,"+AOIAgACc-Door. Scratched dull lock. Put in. Turn the key. Fail. Joggle. Lean into. Be firm. Try again now. Try again, again. And, on another try, there. She+AOIAgACZ-s +ICY"
Music,"Austerity, gentrification and big tunes: why illegal raves are flourishing","It+AOIAgACZ-s an hour after midnight on New Year+AOIAgACZ-s Day 2020, and a stream of revellers is gathering in an alleyway next to KFC on London+AOIAgACZ-s Old Kent Road. They +ICY"
UK-News,Streatham attacker 'had his heart set on martyrdom+AOIAgACZ,"Sudesh Amman, the convicted terrorist who launched a stabbing attack in Streatham, had his +AOIAgACc-heart set on martyrdom+AOIAgACd, the country+AOIAgACZ-s most senior counter +ICY"
Books,The Lost Pianos of Siberia by Sophy Roberts review +AOIAgACT a journey to the +AOIAgACY-End of Everything+AOIAgACZ,"In the summer of 2015, travel journalist Sophy Roberts found herself in a tent in Mongolia deep in conversation with a talented young local pianist wh +ICY"
Books,Patti Smith pitches in to help burgled Oregon bookshop,The poet and punk-rock star Patti Smith has added another string to her bow: bookshop defender. After reading about a break-in at an independent books +ICY
UK-News,Sentencing: minister rejects European human rights convention warning,A senior government minister has raised further questions over Britain+AOIAgACZ-s relationship with the European convention on human rights (ECHR) as Boris Joh +ICY
Music,Why was Katy Perry chosen to be an ambassador for the British Asian Trust?,"Name: Katy Perry. Age: 35. Occupation: New ambassador of the British Asian Trust. Oh great, good for her. No, not, +AOIAgACc-Oh great, good for her+AOIAgACd. Let me as +ICY"
UK-News,Graffiti threats to Derry reporter who witnessed death of Lyra McKee,A Northern Ireland reporter who witnessed the murder of journalist Lyra McKee in Derry last April has received renewed threats in the city. Graffiti b +ICY
UK-News,"Manchester attacker's brother tried to buy bomb ingredient, court told","The brother of the Manchester Arena bomber attempted to buy a bomb-making ingredient but was thwarted by his friend+AOIAgACZ-s father, a court has heard. Hashe +ICY"
UK-News,"Children's care system in Scotland needs replacing, review finds",Summary: A major review of failures in the Scottish care system has called for it to be scrapped and replaced by a new unified service. The independent care re +ICY
Music,"The Chats, Montaigne, Missy Higgins and more: Australia's best new music for February","Missy Higgins +AOIAgACT Carry You For fans of: Holly Throsby, James Taylor, the Whitlams The final episode of Tim Minchin+AOIAgACZ-s stunning new series, Upright, clos +ICY"
UK-News,"Don't let Saudi arms ship dock in UK, say campaigners",Campaigners have called on the British authorities to refuse permission for a vast Saudi ship carrying military equipment to dock in the UK because th +ICY
UK-News,Met chief: update public nuisance law to tackle Extinction Rebellion,Police officers are looking to update the offence of +AOIAgACc-public nuisance+AOIAgACd for the 21st century to ensure they have the necessary powers to tackle protest +ICY
UK-News,"Arron Banks donated +AMIAow-2,000 to Tory Andrea Jenkyns's campaign","The controversial Leave.EU co-founder Arron Banks, who was barred from joining the Conservative party, gave a cash donation to a Tory MP+AOIAgACZ-s general ele +ICY"
Music,Slade drummer Don Powell 'fired by email' after 57-year partnership,"One of British pop+AOIAgACZ-s most enduring partnerships has come to an end, not with a bang, but by email. Don Powell, the drummer with glam rock band Slade, +ICY"
Books,Edward Kamau Brathwaite obituary,"Edward Brathwaite, also known as Kamau Brathwaite, who has died aged 89, was a Caribbean poet and historian, praised by the American poet Adrienne Ric +ICY"
UK-News,Home Office told to act as detainees unable to contact lawyers,"The Home Office has been accused of holding immigration detainees effectively incommunicado, with a lack of mobile signal preventing them from contact +ICY"
UK-News,Trial of rapper Loski collapses as prosecutor falls ill,"The trial of one of the UK+AOIAgACZ-s top rappers has collapsed before he was due to be cross-examined in court. The rapper Loski, 20, whose real name is Jyrel +ICY"
UK-News,Rush to change sentencing laws before release of convicted terrorists,Emergency terrorism laws announced after the Streatham attack could be pushed through parliament by 27 February +AOIAgACT just one day before a convicted terr +ICY
Books,'Fake diversity': Barnes & Noble cancels race-swapped classic covers,"Barnes & Noble, America+AOIAgACZ-s largest bookseller, has withdrawn a new series of +AOIAgACc-diverse+AOIAgACd classic book covers following a backlash from writers who say it +ICY"
Books,"'Love, loss and longing': the best books on migration, chosen by writers","Summary: Not all writers think of migrants as a +AOIAgACc-faceless brown mass+AOIAgACd. Indeed, if there is one thing that readers should take away from the ill-fated release o +ICY"
UK-News,Government to be challenged in court over Prevent reviewer,The government+AOIAgACZ-s failure to appoint an independent reviewer of its Prevent strategy and assess the controversial de-radicalisation programme+AOIAgACZ-s effecti +ICY
Books,Caucus: from Iowa shambles to backroom fixes,"This week, Democrat members in Iowa met to choose their presidential nominee, but the headlines the next day were all about the +AOIAgACc-Iowa caucus shambles+AOIAgACd +ICY"
Music,Frazey Ford: U Kin B the Sun review +AOIAgACT bright shoots from knotted roots of American song,"Summary: The lead single from Frazey Ford+AOIAgACZ-s 2015 album Indian Ocean, a coruscating breakup lament called Done, came accompanied by one of the great videos of t +ICY"
Books,Picture books on prescription,"In Jayde Perkin+AOIAgACZ-s exquisitely moving Mum+AOIAgACZ-s Jumper, a little girl leaves her mother behind in hospital when visiting hours are over. The next day, the +ICY"
Music,La Roux review +AOIAgACT synth star throws a joyously sleazy blowout,"Summary: Whether it+AOIAgACZ-s the spikier 80s synths of her 2009 breakthrough hits or the breezy disco stylings of her wonderful second album, 2014+AOIAgACZ-s Trouble in Paradi +ICY"
UK-News,'Drugged-up' nurse jailed for causing death of man in car crash,A nurse who had taken a large dose of a strong painkiller that she had bought in Mexico has been jailed for five years and four months after causing t +ICY
Books,How locked-room mystery king Seishi Yokomizo broke into English at last,"A Japanese village in 1937 is shocked by a gruesome murder +AOIAgACT a newlywed couple found shut away in a room +AOIAgACc-soaked in the crimson of their own blood+AOIAgACd, a +ICY"
UK-News,Steve Cohen obituary,"My friend Steve Cohen, who has died aged 70 of cancer, was one of Newcastle upon Tyne+AOIAgACZ-s most respected and influential Labour party activists, as well +ICY"
UK-News,"Manchester bomber's brother set up 'slaughter' email address, court told","The brother of the Manchester Arena bomber set up an email address with the Arabic words for +AOIAgACc-We have come to slaughter+AOIAgACd to buy bomb-making chemicals, +ICY"
UK-News,Key workers to be given 30% discount in new housing scheme,"Key workers, such as nurses, police and military personnel, will get priority under a new scheme offering homes for first-time buyers at a 30% discoun +ICY"
UK-News,'Crimes not reported' as public lose confidence in police,The police watchdog has warned that public confidence is being damaged with officers +AOIAgACc-rumbled+AOIAgACd for struggling to investigate crimes +AOIAgACT such as burglary +ICY
UK-News,"No need to fly flag on Prince Andrew's birthday, councils told","The British government has changed the policy of flying flags on royal birthdays, with local authorities no longer required to raise the Union Flag fo +ICY"
Music,Green Day: 'Rock'n'roll helps you dance through the apocalypse',"Green Day are in their modest rehearsal space in their hometown of Oakland, California, a little haven in a country on the turn. The trio of 47-year-o +ICY"
UK-News,Jamaica deportations 'must be halted until Windrush report published',"The advisory panel of a review into the Windrush scandal, including a former senior immigration judge, has warned against the resumption of mass depor +ICY"
UK-News,Police Scotland sent out guide listing Extinction Rebellion with neo-Nazis,Scottish counter-terrorism officers sent out a controversial guide listing Extinction Rebellion and Greenpeace alongside neo-Nazi groups within the pa +ICY
Books,Poet laureate Simon Armitage launches 'ambient post-rock' band,"Most modern poets laureate have released recordings of their work, but none hitherto has put out an album billed as providing +AOIAgACc-ambient post-rock passa +ICY"
Books,"Grown Ups by Marian Keyes review +AOIAgACT comic, convincing and true","Summary: Grown Ups starts at the end. A large and happy family is gathered at a birthday party: brothers Johnny, Ed and Liam, their wives Jessie, Cara and Nell +ICY"
Music,Issie Barratt's Interchange: Donna's Secret review +AOIAgACT big-band visions,"Back in the day, some fans would raise eyebrows at the implications of the term +AOIAgACc-jazz education+AOIAgACd +AOIAgACT preferring the romance that this impulsive music wa +ICY"
Music,"La Roux: Supervision review +AOIAgACT obliquely beautiful, contrarian electro visionary",When La Roux came to prominence in the late-00s with two shrill synthpop smashes +AOIAgACT Bulletproof and In for the Kill +AOIAgACT the duo were frequently discussed +ICY
Books,Inventory by Darran Anderson review +AOIAgACT a childhood in Derry,"Belfast and Derry, Northern Ireland+AOIAgACZ-s largest cities, are separated by the Glenshane Pass, a mountain road devoid of human habitation other than the s +ICY"
Music,Beatrice Dillon: Workaround review +AOIAgACT a global future-folk manifesto,"At the end of last year, the Guardian declared Beatrice Dillon +AOIAgACc-the most thrilling new voice in British electronic music+AOIAgACd, and her first full-fledged +ICY"
Books,"Jojo Moyes: +AOIAgACY-I frequently don+AOIAgACZ-t finish books. I feel it+AOIAgACZ-s mean to name them, though+AOIAgACZ","Summary: The book I+AOIAgACZ-m currently reading Polly Samson+AOIAgACZ-s A Theatre for Dreamers. It+AOIAgACZ-s a coming of age story set among a group of artists and poets, including Leo +ICY"
Music,Makaya McCraven and Gil Scott-Heron: We're New Here review +AOIAgACT a modern classic revived,"For Makaya McCraven, sampling is a means of remembrance. The Chicago-based drummer and producer has spent recent years honing his studio style to inco +ICY"
Music,HMLTD: West of Eden review +AOIAgACT riotous rock and grand guignol glam,"It seemed as though HMLTD+AOIAgACZ-s moment had come and gone. A couple of years ago, their riotous gigs were the most fun you could have while paying too much +ICY"
Music,"Tracks of the week reviewed: L+AMMApQ-psley, Gorillaz, Elon Musk","Summary: L+AMMApQ-psley Womxn Four years ago, the then-19-year-old emo-synth singer Holly Lapsley released a debut album that was a) Really quite incredible (yay!), a +ICY"
Books,Charles Dickens 'treasure trove' goes to London museum,Charles Dickens was precise with instructions for his dinner party: no champagne and as little wine as possible for guests before the food and definit +ICY
Music,Liam Gallagher's son and Ringo Starr's grandson in court over Tesco affray charge,The son of Liam Gallagher and the grandson of Ringo Starr have appeared in court to deny criminal charges over an alleged late-night altercation with +ICY
Books,The best recent science fiction and fantasy +AOIAgACT review roundup,"Anne Charnock won the 2018 Arthur C Clarke award for Dreams Before the Start of Time, exploring the future of reproductive technology; her fourth nove +ICY"
Music,Ryan Beatty was set to be the next Bieber +AOIAgACT then he realised he was living a lie,Summary: Ryan Beatty was flying home to LA after a gig when he had an epiphany. +AOIAgACc-I remember we were about to take off and I just told my manager: +AOIAgACY-I can+AOIAgACZ-t do t +ICY
UK-News,Shamima Begum loses first stage of appeal against citizenship removal,"Shamima Begum, the woman who left Britain as a schoolgirl to join Islamic State in Syria, has lost the initial stage of her appeal against the Home Of +ICY"
Music,Judge rules Kesha defamed Dr Luke by claiming he raped Katy Perry,A New York supreme court judge has ruled that Kesha defamed her former producer and label head Dr Luke +AOIAgACT whose real name is Lukasz Gottwald +AOIAgACT when she +ICY
UK-News,Begum verdict emerges from thin arguments of security v humanity,"Shamima Begum was unable to +AOIAgACc-play any meaningful part in her appeal+AOIAgACd, according to the British court that nevertheless decided her fate, because of th +ICY"
UK-News,Twitter users mock 'ladies fillet' steak on Liverpool menu,"A restaurant in Liverpool has attracted online ridicule for selling an 8oz +AOIAgACc-ladies fillet+AOIAgACd steak, which is smaller than the other cuts on its menu. Th +ICY"
UK-News,Brother of Manchester Arena bomber says he was 'shocked' by attack,"The brother of the Manchester Arena bomber, who is accused of helping to mastermind the terror attack, has denied any involvement, saying he was devas +ICY"
UK-News,Continuity IRA admits Brexit day lorry bomb plot,The Continuity IRA has admitted it tried to smuggle a bomb onto a lorry destined for an Irish Sea ferry. In a statement issued to the Irish News in Be +ICY
Books,"Publishing has to keep up with the world, not the other way round","The results of a survey of diversity in the world of US publishing were released last month. The figures cover executives, editorial staff, sales, pub +ICY"
Books,The Hungry and the Fat by Timur Vermes review +AOIAgACT broad satire of migration and hypocrisy,"It+AOIAgACZ-s the near future, and Europe has closed its borders firmly to refugees. A vast permanent camp has grown in sub-Saharan Africa, sustained (just) by +ICY"
Books,To the Lake by Kapka Kassabova review +AOIAgACT a dive into dark Balkan waters,"Summary: A travel writer+AOIAgACZ-s journey is often centrifugal in its bearing, from the known to the unknown; but the journey itself has the effect of inaugurating a +ICY"
Books,Jenny Offill: +AOIAgACY-I no longer felt like it wasn+AOIAgACZ-t my fight+AOIAgACZ,"It+AOIAgACZ-s early January and freezing cold in New York when I meet Jenny Offill to talk about her new novel, Weather +AOIAgACT an innocuous title for something that +ICY"
UK-News,Storm Ciara: Met Office issues wind warnings as snow forecast for UK,Weather warnings have been issued for parts of the UK as Storm Ciara is forecast to bring strong gales and heavy rain over the weekend. Yellow warning +ICY
UK-News,Harry and Meghan attend exclusive JP Morgan event in Miami,"The Duke and Duchess of Sussex attended an exclusive JP Morgan event in one of their first engagements since stepping down as senior royals, a palace +ICY"
Music,One to watch: Pongo,"Summary: After a few years when pop was all about emotional bloodletting, now stars are refusing to be defined by trauma +AOIAgACT see recent records by Kesha and Sele +ICY"
Music,Anna Meredith review +AOIAgACT a careering getaway ride from musical convention,"In 2016, shortly after the release of her celebrated debut, Varmints, Anna Meredith revealed her top tip for composers. +AOIAgACc-Learn to play Happy Birthday. +ICY"
Books,"Peter Carey on True History of the Kelly Gang: +AOIAgACY-At 56, I wrote what my younger self could not have managed+AOIAgACZ",In 1961 I failed my first-year science exams at Monash University in Melbourne. In the aftermath I got a job in advertising and read Joyce+AOIAgACZ-s Ulysses. +ICY
UK-News,Doctor wanted for remote isle ... fainthearted need not apply,The details carried on the job advert are prosaic enough: GPs +AOIAgACc-with remote and rural experience+AOIAgACd are invited to apply for a job tending to the needs o +ICY
Music,Take one: lost Dave Brubeck tapes reveal jazz hit originally sounded like +AOIAgACY-a bad student band+AOIAgACZ,It is the best-selling jazz single of all time. But previously unheard rehearsal tapes reveal that Dave Brubeck+AOIAgACZ-s Take Five might never have been such +ICY
Music,Karen Sharp Trio: Another Place review +AOIAgACT three is the magic number,"Britain+AOIAgACZ-s professional jazz musicians, even those such as saxophonist-composer Karen Sharp who are voted top in magazine polls, don+AOIAgACZ-t spend all their +ICY"
UK-News,"A week on, Streatham attack marked by march and peace vigil","A peace vigil has been held in Streatham, south London, one week after a terror attack that left three people injured. Convicted terrorist Sudesh Amma +ICY"
Books,Petina Gappah: +AOIAgACY-I learned Swahili to write this+AOIAgACZ,"Summary: Petina Gappah was born in Zambia in 1971 and has law degrees from Cambridge, Graz University and Zimbabwe University. Her debut story collection, An E +ICY"
Books,Book clinic: what can I read after work instead of watching TV?,"Q: I want to come home from work and read instead of putting on the TV. Which books will help me disconnect from my stressful office life? Uma, 40, bu +ICY"
UK-News,Major disruption for UK rail users as Storm Ciara approaches,Travel chaos and event cancellations are expected as Storm Ciara pummels the UK with winds of up to 80mph. The Met Office has issued a yellow weather +ICY
UK-News,"Let+AOIAgACZ-s reclaim Notting Hill from romcom tourists, says writer who grew up there","Summary: Notting Hill is high up the sightseeing list for visitors to London, and yet its reputation as a lively, artistic quarter of the city is actually base +ICY"
UK-News,Boris Johnson to give HS2 green light despite Tory fears,Boris Johnson will give the final go-ahead to the first phase of the controversial HS2 high speed rail link early this week +AOIAgACT despite fears over spira +ICY
Music,"Home listening: step up, Franz Clement and Henry Litolff","+AOIAgACi We+AOIAgACZ-re going to hear a great deal of Beethoven this year, the 250th anniversary of his birth, but what of the music that shaped and influenced him, s +ICY"
UK-News,"PM+AOIAgACZ-s plan for terrorists could be +AOIAgACY-counter-productive+AOIAgACZ, says father of London Bridge attack victim","David Merritt felt heavy with grief when news of the Streatham terrorist attack broke, but he wasn+AOIAgACZ-t shocked. The father of Jack Merritt, a 25-year ol +ICY"
Books,"Parisian Lives: Samuel Beckett, Simone de Beauvoir and Me review +AOIAgACT a biographer+AOIAgACZ-s voyage","Summary: In 1971, Deirdre Bair achieved one of the great literary scoops of our times. Armed with a recently completed PhD and an abandoned career as a journal +ICY"
Music,Lil Wayne: Funeral review +AOIAgACT fearsome and full of life,So much of what is now standard in hip-hop can be traced back to the intervention of New Orleans rapper and label boss Lil Wayne: trap eccentricity an +ICY
Books,Djinn Patrol on the Purple Line by Deepa Anappara +AOIAgACT review,Nine-year-old Jai lives in a slum on the outskirts of an unnamed Indian city with his parents and older sister. In many ways he is an unremarkable boy +ICY
UK-News,Phillip Schofield: I suspected I was gay when I got married,"The television presenter Phillip Schofield has said he suspected he was gay when he got married 27 years ago, but suppressed his feeling because he wa +ICY"
Music,Psappha review +AOIAgACT Schoenberg's Pierrot Lunaire is truly groundbreaking,Schoenberg+AOIAgACZ-s Pierrot Lunaire belongs alongside Stravinsky+AOIAgACZ-s Rite of Spring and a few other modernist masterpieces as one of the truly groundbreaking s +ICY
Music,Green Day: Father of All Motherfuckers review +AOIAgACT apolitical angst with aplomb,"Given that George W Bush+AOIAgACZ-s presidency so enraged Green Day they recorded 2004+AOIAgACZ-s American Idiot in reaction, one could be forgiven for thinking that Fa +ICY"
Books,Hitting a Straight Lick With a Crooked Stick by Zora Neale Hurston review +AOIAgACT wickedly funny,This collection of novelist and anthropologist Zora Neale Hurston+AOIAgACZ-s short stories +AOIAgACT among them eight +AOIAgACc-lost+AOIAgACd Harlem Renaissance tales from the 1920s an +ICY
UK-News,Harry Dunn's family seek answers over reports Anne Sacoolas was CIA officer,Summary: The family of a British teenager killed when his motorbike was struck by a car driven by a US diplomat+AOIAgACZ-s wife have demanded to know whether the UK was +ICY
Books,"In brief: House of Trelawney; Black Leopard, Red Wolf; How to Argue With a Racist +AOIAgACT reviews","House of Trelawney Hannah Rothschild Bloomsbury, +AMIAow-16.99, pp368 Like Rothschild+AOIAgACZ-s debut novel, The Improbability of Love, House of Trelawney wraps up a +ICY"
Music,Shopping: All Or Nothing review +AOIAgACT more frenetic and kinetic than ever,"Invigorating vim is the calling card of British post-punk trio Shopping, whose sound across any of their three albums to date would slot neatly into a +ICY"
UK-News,Chinese in UK report 'shocking' levels of racism after coronavirus outbreak,"+AOIAgACc-We+AOIAgACZ-ll be in trouble if these guys sneeze on us,+AOIAgACd Jason Ngan overheard as he and his brother got into a lift in Manchester+AOIAgACZ-s Piccadilly station. Born +ICY"
Music,Drive-By Truckers: 'We have redneck in us. No one tells us what to do',"Summary: Mike Cooley has a gift for aphorism. +AOIAgACc-Paranoia+AOIAgACZ-s like pulled pork,+AOIAgACd he says, in his deep Alabama baritone. +AOIAgACc-It+AOIAgACZ-s on menus all over the world, but in t +ICY"
UK-News,Travellers complain over Met officer's warning about funeral,Scotland Yard has been accused of +AOIAgACc-blatant discrimination+AOIAgACd after an officer warned local businesses of the risk of hosting mourners from the Traveller +ICY
UK-News,"Prioritise Liverpool-Leeds rail link over HS2, says Burnham","Boris Johnson should prioritise a new Transpennine railway line before the Manchester section of HS2, the mayor of Greater Manchester, Andy Burnham, h +ICY"
UK-News,Windrush claimants 'tip of the iceberg' as payout struggle continues,Summary: Ministers have been told that the number of people known to have been wrongly classified as illegal immigrants in the Windrush scandal could be just t +ICY
UK-News,Why justice remains elusive for Windrush generation,"At an angry meeting at the Windrush Memorial Centre in Manchester at the end of January, around 30 people listened to Daniel Hobbs, the civil servant +ICY"
Books,How Anonymous became a star in publishing,"+AOIAgACc-For most of history, Anonymous was a woman,+AOIAgACd wrote Virginia Woolf. Today, Anonymous is probably an outraged employee in a public service: a member of +ICY"
Music,'Time to shine': Janelle Mon+AMMAoQ-e celebrates diversity in Oscars opening number,Janelle Mon+AMMAoQ-e opened the Oscars in hectic style with a performance of her 2009 song Come Alive +AOIAgACT reworked with Oscar-appropriate lyrics. Beginning in +ICY
UK-News,Storm Ciara hammers UK with hurricane-force winds and floods,"Summary: Hurricane-force winds and flooding have caused severe disruption across much of Britain, including damage to hundreds of properties and the cancellati +ICY"
Books,How Agatha Christie mystery The Pale Horse may have inspired a murderer,"Summary: This year+AOIAgACZ-s big Agatha Christie adaptation, The Pale Horse, is one of her less well-known murder mysteries +AOIAgACT but in some ways it has had a much greate +ICY"
Books,Weather by Jenny Offill review +AOIAgACT a storm gathers in Trump+AOIAgACZ-s America,"Emotional truth is the currency of fiction. Jenny Offill+AOIAgACZ-s last novel, Dept of Speculation, was a wry, caustic, funny book about motherhood and marria +ICY"
Books,The State of Secrecy by Richard Norton-Taylor review +AOIAgACT spooks in the spotlight,It was the 1960s and Richard Norton-Taylor had just finished Oxford with a third-class degree in history. +AOIAgACc-What would you like to do?+AOIAgACd his tutor asked +ICY
UK-News,Minister defends Jamaica deportation flight decision,The government has defended its decision to push ahead with an imminent deportation flight to Jamaica despite last-minute legal challenges by people d +ICY
